Sample_Group_VS_Control_Group	gene	log2FoldChange	pvalue	padj	mean_norm_counts	IS_Significant	Regulation_direction
challenge VS control	VEZT	0.18	0.228753276	4.73E-01	42.18	NO	No_Regulation
challenge VS control	POU2F2	0.43	0.075018591	2.42E-01	10.38	NO	No_Regulation
challenge VS control	BRD9	0.29	0.177989882	4.08E-01	10.2	NO	No_Regulation
challenge VS control	SNX1	-0.19	0.21799664	4.60E-01	32.79	NO	No_Regulation
challenge VS control	TBPL1	-0.1	0.658190731	8.29E-01	9.91	NO	No_Regulation
challenge VS control	ARNTL2	0.92	1.30E-04	2.35E-03	7.28	NO	No_Regulation
challenge VS control	BCLAF1	0.04	0.714701723	8.62E-01	80.31	NO	No_Regulation
challenge VS control	SLC39A9	0	0.987999843	9.94E-01	32.19	NO	No_Regulation
challenge VS control	TFB1M	0.27	0.102727574	2.95E-01	25.53	NO	No_Regulation
challenge VS control	RABEP1	-0.14	0.164249776	3.90E-01	59.65	NO	No_Regulation
challenge VS control	HMGB3	0.76	0.002669463	2.39E-02	5.59	NO	No_Regulation
challenge VS control	NUP160	0.07	0.694149342	8.50E-01	22.22	NO	No_Regulation
challenge VS control	BAK1	0.28	0.212214853	4.52E-01	11.08	NO	No_Regulation
challenge VS control	MUSK	-0.25	0.328007597	5.78E-01	10.82	NO	No_Regulation
challenge VS control	IKZF2	0.66	0.001982725	1.92E-02	16.23	NO	No_Regulation
challenge VS control	GRN	-0.07	0.756660228	8.84E-01	17.65	NO	No_Regulation
challenge VS control	FAM13B	-0.11	0.476444654	7.06E-01	45.96	NO	No_Regulation
challenge VS control	ARHGAP31	0.15	0.454264486	6.89E-01	17.96	NO	No_Regulation
challenge VS control	CENPQ	0.09	0.713351189	8.61E-01	7.32	NO	No_Regulation
challenge VS control	SARS	0.09	0.595153191	7.91E-01	24.14	NO	No_Regulation
challenge VS control	RANBP3	-0.02	0.930179953	9.70E-01	10.04	NO	No_Regulation
challenge VS control	ARID4A	-0.13	0.245389046	4.93E-01	65.77	NO	No_Regulation
challenge VS control	TSSC1	0.27	0.129968502	3.40E-01	21.63	NO	No_Regulation
challenge VS control	PNPLA6	-0.02	0.934023082	9.72E-01	9.73	NO	No_Regulation
challenge VS control	IFT88	-0.02	0.864841009	9.39E-01	40.79	NO	No_Regulation
challenge VS control	ALG1	0.16	0.53257389	7.47E-01	5.68	NO	No_Regulation
challenge VS control	ZCCHC8	-0.06	0.74271841	8.77E-01	16.5	NO	No_Regulation
challenge VS control	LRRC7	-0.03	0.911828507	9.61E-01	5.92	NO	No_Regulation
challenge VS control	FUT8	0.18	0.092579235	2.78E-01	160.67	NO	No_Regulation
challenge VS control	UBA6	0.19	0.11990326	3.25E-01	75.94	NO	No_Regulation
challenge VS control	GAB2	-0.12	0.310996949	5.61E-01	88.96	NO	No_Regulation
challenge VS control	ATP6V0A1	-0.5	0.002904084	2.54E-02	35.93	NO	No_Regulation
challenge VS control	PIAS1	-0.29	0.004346249	3.44E-02	134.05	NO	No_Regulation
challenge VS control	SLC4A7	-0.62	4.93E-04	6.75E-03	386.65	NO	No_Regulation
challenge VS control	APBA2	0.06	0.825850998	9.20E-01	5.57	NO	No_Regulation
challenge VS control	MAP2K3	-0.21	0.312004672	5.62E-01	17.18	NO	No_Regulation
challenge VS control	TMSB10	0.59	2.27E-05	5.98E-04	104.93	NO	No_Regulation
challenge VS control	ASTE1	-0.38	0.097866762	2.87E-01	7.17	NO	No_Regulation
challenge VS control	RNF19A	-0.11	0.348315193	5.97E-01	85	NO	No_Regulation
challenge VS control	PEX3	0.68	0.00210126	2.00E-02	12.29	NO	No_Regulation
challenge VS control	GABARAPL2	-0.53	0.009847926	6.03E-02	15.06	NO	No_Regulation
challenge VS control	SH3YL1	0.08	0.626681019	8.12E-01	41.42	NO	No_Regulation
challenge VS control	FAM136A	0.33	0.123854997	3.31E-01	17.54	NO	No_Regulation
challenge VS control	VCL	0.35	0.018942666	9.54E-02	32.84	NO	No_Regulation
challenge VS control	DEPDC1B	0.9	3.37E-06	1.40E-04	19.06	NO	No_Regulation
challenge VS control	DAPK2	-0.93	3.98E-12	2.86E-09	128.13	NO	No_Regulation
challenge VS control	NSMAF	0.23	0.149752513	3.69E-01	29.22	NO	No_Regulation
challenge VS control	ADSS	0.36	0.097469227	2.86E-01	12.86	NO	No_Regulation
challenge VS control	TIMP2	-0.8	1.20E-04	2.22E-03	15.18	NO	No_Regulation
challenge VS control	RFC1	0.34	0.014803806	8.05E-02	35.9	NO	No_Regulation
challenge VS control	TBC1D23	-0.27	0.084770685	2.64E-01	32.17	NO	No_Regulation
challenge VS control	CUL3	-0.05	0.697873986	8.53E-01	68.08	NO	No_Regulation
challenge VS control	OTC	-0.05	0.746631838	8.79E-01	57.7	NO	No_Regulation
challenge VS control	ZZZ3	0.1	0.503308219	7.27E-01	44.3	NO	No_Regulation
challenge VS control	USP2	-0.46	0.096994594	2.85E-01	14.95	NO	No_Regulation
challenge VS control	CASR	-0.21	0.335568952	5.84E-01	10.7	NO	No_Regulation
challenge VS control	RPL26L1	0.18	0.461540533	6.95E-01	6.8	NO	No_Regulation
challenge VS control	NSUN2	0.29	0.18958324	4.23E-01	15.19	NO	No_Regulation
challenge VS control	FBXO42	0.37	0.033223441	1.41E-01	23.21	NO	No_Regulation
challenge VS control	MFAP3	0.22	0.334167214	5.83E-01	13.12	NO	No_Regulation
challenge VS control	MRI1	-0.5	0.039423057	1.58E-01	6.73	NO	No_Regulation
challenge VS control	AGA	0.18	0.454246828	6.89E-01	5.43	NO	No_Regulation
challenge VS control	PI4K2B	-0.66	6.08E-04	7.89E-03	57.83	NO	No_Regulation
challenge VS control	BOD1L1	0.06	0.575776745	7.79E-01	85.3	NO	No_Regulation
challenge VS control	MAT2B	0.04	0.797052809	9.05E-01	25.67	NO	No_Regulation
challenge VS control	TLL1	-1.09	9.25E-08	7.59E-06	26.69	YES	Down-Regulated in Sample Group
challenge VS control	TRIO	0.26	0.065555328	2.23E-01	100.15	NO	No_Regulation
challenge VS control	VCAN	0.23	0.324331199	5.74E-01	16.53	NO	No_Regulation
challenge VS control	CLEC16A	0.02	0.859275993	9.35E-01	56.94	NO	No_Regulation
challenge VS control	MSR1	0.16	0.501215413	7.25E-01	7	NO	No_Regulation
challenge VS control	CDH1	-0.37	0.003216072	2.76E-02	124.16	NO	No_Regulation
challenge VS control	SKIV2L2	0.05	0.708131922	8.58E-01	48.33	NO	No_Regulation
challenge VS control	ZFYVE16	0	0.981993389	9.92E-01	28.55	NO	No_Regulation
challenge VS control	FAM65A	0.04	0.865675506	9.39E-01	4.77	NO	No_Regulation
challenge VS control	RAI14	-1.16	5.14E-10	1.11E-07	27.07	YES	Down-Regulated in Sample Group
challenge VS control	PNKP	-0.17	0.435359542	6.73E-01	14.12	NO	No_Regulation
challenge VS control	PHLPP2	-1.03	2.17E-07	1.60E-05	59.04	YES	Down-Regulated in Sample Group
challenge VS control	SPDL1	0.69	0.008132475	5.29E-02	5.6	NO	No_Regulation
challenge VS control	STAU2	-0.13	0.230884597	4.75E-01	114.25	NO	No_Regulation
challenge VS control	PHF23	0.01	0.973909492	9.90E-01	5.84	NO	No_Regulation
challenge VS control	INPP4A	0.38	0.013584257	7.58E-02	46.58	NO	No_Regulation
challenge VS control	RAB27B	0.25	0.260951115	5.09E-01	18.67	NO	No_Regulation
challenge VS control	PSMA4	0.5	2.45E-04	3.90E-03	57.83	NO	No_Regulation
challenge VS control	LSG1	0.2	0.266165171	5.14E-01	18.12	NO	No_Regulation
challenge VS control	PARP3	-0.31	0.182661832	4.14E-01	7.56	NO	No_Regulation
challenge VS control	TNC	0.23	0.349552124	5.98E-01	15.97	NO	No_Regulation
challenge VS control	TDP1	0.22	0.355167608	6.04E-01	7.83	NO	No_Regulation
challenge VS control	AIFM2	-0.07	0.779587809	8.96E-01	5.71	NO	No_Regulation
challenge VS control	SPATA7	-0.09	0.705235412	8.56E-01	9.46	NO	No_Regulation
challenge VS control	MED17	0.15	0.46008623	6.94E-01	14.95	NO	No_Regulation
challenge VS control	RETSAT	-0.77	9.04E-06	3.02E-04	43.7	NO	No_Regulation
challenge VS control	AP2S1	0.05	0.80937847	9.11E-01	12.19	NO	No_Regulation
challenge VS control	ADAM28	0.41	0.029548183	1.30E-01	30.55	NO	No_Regulation
challenge VS control	BARX2	0.13	0.53138948	7.47E-01	28.61	NO	No_Regulation
challenge VS control	DCUN1D1	-0.42	0.004843807	3.70E-02	37.41	NO	No_Regulation
challenge VS control	JADE2	0.1	0.624659887	8.10E-01	11.14	NO	No_Regulation
challenge VS control	LCP2	0.38	0.02577968	1.18E-01	26.35	NO	No_Regulation
challenge VS control	TRIT1	0.44	0.075749533	2.44E-01	6.84	NO	No_Regulation
challenge VS control	ADRB1	0.11	0.680517899	8.43E-01	4.4	NO	No_Regulation
challenge VS control	GUCA2B	-1.74	3.84E-11	1.52E-08	5.25	YES	Down-Regulated in Sample Group
challenge VS control	CTNNA1	-0.24	0.062287071	2.15E-01	113.05	NO	No_Regulation
challenge VS control	PHKA2	0	0.97973943	9.92E-01	21.12	NO	No_Regulation
challenge VS control	CNTLN	-0.06	0.758596217	8.85E-01	22.35	NO	No_Regulation
challenge VS control	EPHA3	0.02	0.932229128	9.71E-01	16.48	NO	No_Regulation
challenge VS control	HSPA5	0.3	0.085635105	2.65E-01	84.38	NO	No_Regulation
challenge VS control	DSG2	-0.43	0.005919646	4.26E-02	80.14	NO	No_Regulation
challenge VS control	GEMIN8	-0.04	0.871676024	9.42E-01	7.18	NO	No_Regulation
challenge VS control	OFD1	-0.31	0.073952965	2.40E-01	54.84	NO	No_Regulation
challenge VS control	PREX2	-0.38	0.043228686	1.68E-01	22.68	NO	No_Regulation
challenge VS control	WDR37	0.11	0.473507739	7.03E-01	40.83	NO	No_Regulation
challenge VS control	YTHDC2	0.16	0.265908848	5.13E-01	36.04	NO	No_Regulation
challenge VS control	CTPS2	-0.64	6.03E-06	2.17E-04	49.04	NO	No_Regulation
challenge VS control	ATP6V1H	-0.12	0.464998629	6.97E-01	28.56	NO	No_Regulation
challenge VS control	POLR2B	0.32	0.028194045	1.26E-01	33.6	NO	No_Regulation
challenge VS control	KIAA1370	-0.08	0.539117919	7.52E-01	69.91	NO	No_Regulation
challenge VS control	ARAP2	-0.34	4.55E-04	6.33E-03	95.65	NO	No_Regulation
challenge VS control	TPR	0.19	0.086530362	2.66E-01	97.3	NO	No_Regulation
challenge VS control	CP	0.03	0.910412601	9.61E-01	8.05	NO	No_Regulation
challenge VS control	KIAA0556	0.08	0.641567849	8.20E-01	19.28	NO	No_Regulation
challenge VS control	DTNBP1	0.03	0.858595287	9.35E-01	38.52	NO	No_Regulation
challenge VS control	XK	0.09	0.671195067	8.37E-01	15.03	NO	No_Regulation
challenge VS control	ANO2	0.03	0.887127564	9.50E-01	8.5	NO	No_Regulation
challenge VS control	C12orf4	0.6	0.00504122	3.81E-02	13.64	NO	No_Regulation
challenge VS control	SCML1	-0.19	0.286128668	5.35E-01	23.24	NO	No_Regulation
challenge VS control	WWC3	0.68	0.003401312	2.87E-02	9.14	NO	No_Regulation
challenge VS control	ARHGAP6	0.23	0.284155826	5.33E-01	24.24	NO	No_Regulation
challenge VS control	MAP4	0.16	0.179143662	4.09E-01	84.98	NO	No_Regulation
challenge VS control	GOPC	-0.01	0.945987591	9.75E-01	26.14	NO	No_Regulation
challenge VS control	USP28	-0.06	0.79078867	9.01E-01	12.06	NO	No_Regulation
challenge VS control	HDAC9	0.12	0.591493612	7.88E-01	55.46	NO	No_Regulation
challenge VS control	NOP16	0.48	0.053994559	1.95E-01	6.35	NO	No_Regulation
challenge VS control	CC2D2A	0	0.993380843	9.97E-01	11.78	NO	No_Regulation
challenge VS control	RRM2B	-0.45	0.032588267	1.39E-01	12.86	NO	No_Regulation
challenge VS control	ZNF800	0.09	0.532893944	7.48E-01	42.55	NO	No_Regulation
challenge VS control	TNFRSF17	0.82	0.001578356	1.63E-02	5.58	NO	No_Regulation
challenge VS control	SNX29	0.48	0.001296394	1.42E-02	41.9	NO	No_Regulation
challenge VS control	MRPS10	0.33	0.099649991	2.90E-01	14.93	NO	No_Regulation
challenge VS control	RSF1	-0.05	0.636106192	8.17E-01	89.53	NO	No_Regulation
challenge VS control	VPS13D	-0.01	0.935636661	9.72E-01	76.33	NO	No_Regulation
challenge VS control	CELF2	0.53	5.42E-05	1.19E-03	122.97	NO	No_Regulation
challenge VS control	FAM120A	0.28	0.005681262	4.14E-02	115.96	NO	No_Regulation
challenge VS control	R3HDM1	0.33	0.005952383	4.27E-02	64.42	NO	No_Regulation
challenge VS control	KITLG	0.01	0.956495188	9.81E-01	22.13	NO	No_Regulation
challenge VS control	ERCC8	0.43	0.009272862	5.80E-02	34.75	NO	No_Regulation
challenge VS control	ADAMTS6	0.34	0.17413743	4.04E-01	11.1	NO	No_Regulation
challenge VS control	H6PD	-0.24	0.235143909	4.81E-01	13.59	NO	No_Regulation
challenge VS control	VAMP3	-0.35	0.136189319	3.50E-01	13.43	NO	No_Regulation
challenge VS control	PER3	-0.31	0.266369307	5.14E-01	26.61	NO	No_Regulation
challenge VS control	LTBP1	-0.55	0.006114942	4.34E-02	27.81	NO	No_Regulation
challenge VS control	RCN1	0.65	0.005519697	4.05E-02	12.18	NO	No_Regulation
challenge VS control	RFC2	0.43	0.092546864	2.78E-01	5.3	NO	No_Regulation
challenge VS control	ARID1B	-0.12	0.129876292	3.40E-01	285.91	NO	No_Regulation
challenge VS control	CLPTM1L	-0.01	0.964798275	9.85E-01	25.99	NO	No_Regulation
challenge VS control	NEDD4L	-0.38	1.23E-04	2.25E-03	117.7	NO	No_Regulation
challenge VS control	HEXB	-0.2	0.161684226	3.87E-01	25.92	NO	No_Regulation
challenge VS control	PTCD2	0.48	0.068388187	2.28E-01	5.95	NO	No_Regulation
challenge VS control	JKAMP	-0.09	0.675273271	8.39E-01	12.77	NO	No_Regulation
challenge VS control	ARHGEF5	-0.5	0.045407391	1.73E-01	6.93	NO	No_Regulation
challenge VS control	NFE2L3	0.51	0.030927052	1.34E-01	9.75	NO	No_Regulation
challenge VS control	MCUR1	-0.64	1.71E-04	2.90E-03	30.47	NO	No_Regulation
challenge VS control	LIMA1	-0.06	0.64406621	8.22E-01	206.51	NO	No_Regulation
challenge VS control	LETMD1	0.18	0.215546992	4.57E-01	33.72	NO	No_Regulation
challenge VS control	SLC4A8	-0.62	0.007783445	5.15E-02	10.99	NO	No_Regulation
challenge VS control	TNIP3	0.76	0.003630848	3.01E-02	7.04	NO	No_Regulation
challenge VS control	MAPK9	0.16	0.396400153	6.41E-01	14.34	NO	No_Regulation
challenge VS control	COL23A1	-0.19	0.455882195	6.91E-01	7.79	NO	No_Regulation
challenge VS control	BCAR1	-0.61	0.003576581	2.98E-02	11.74	NO	No_Regulation
challenge VS control	FAM160A2	-0.36	0.023582519	1.12E-01	34.94	NO	No_Regulation
challenge VS control	HERPUD1	0.32	0.090015924	2.73E-01	41.78	NO	No_Regulation
challenge VS control	POLQ	0.91	2.14E-05	5.72E-04	15.98	NO	No_Regulation
challenge VS control	PIK3CB	-0.11	0.398448109	6.42E-01	54	NO	No_Regulation
challenge VS control	CYBA	0.68	7.63E-04	9.31E-03	30.3	NO	No_Regulation
challenge VS control	THOC3	0.54	0.042761739	1.67E-01	4.37	NO	No_Regulation
challenge VS control	HEBP2	-0.24	0.125112778	3.33E-01	31.15	NO	No_Regulation
challenge VS control	MPHOSPH9	0.7	7.85E-05	1.60E-03	20.49	NO	No_Regulation
challenge VS control	PLEKHA5	-0.12	0.218848512	4.61E-01	191.09	NO	No_Regulation
challenge VS control	PRSS8	-0.57	0.011828188	6.87E-02	20.49	NO	No_Regulation
challenge VS control	SIKE1	0.05	0.81961396	9.17E-01	13.73	NO	No_Regulation
challenge VS control	RRP12	0.22	0.391594963	6.37E-01	5.72	NO	No_Regulation
challenge VS control	FNIP2	0.43	0.005138503	3.87E-02	30.31	NO	No_Regulation
challenge VS control	MSMO1	0.1	0.60179486	7.95E-01	18.43	NO	No_Regulation
challenge VS control	TTC17	0.03	0.739794711	8.76E-01	164.88	NO	No_Regulation
challenge VS control	FOXN3	-0.59	3.62E-05	8.69E-04	354.48	NO	No_Regulation
challenge VS control	METTL24	0.44	0.102492823	2.95E-01	5.65	NO	No_Regulation
challenge VS control	AKR7A2	-0.26	0.196196819	4.32E-01	17.97	NO	No_Regulation
challenge VS control	MRTO4	0.34	0.145252731	3.63E-01	8.52	NO	No_Regulation
challenge VS control	MCF2L2	0.13	0.564230889	7.71E-01	10.65	NO	No_Regulation
challenge VS control	LAMA3	-0.88	3.18E-05	7.80E-04	59.28	NO	No_Regulation
challenge VS control	AP5M1	0.05	0.779814299	8.96E-01	37.15	NO	No_Regulation
challenge VS control	ANAPC4	0.22	0.292082671	5.41E-01	17.25	NO	No_Regulation
challenge VS control	KCNQ1	0.39	0.005227061	3.91E-02	80.89	NO	No_Regulation
challenge VS control	TRAPPC3	0.3	0.212047494	4.52E-01	8.85	NO	No_Regulation
challenge VS control	THRAP3	0.1	0.43164553	6.70E-01	67.52	NO	No_Regulation
challenge VS control	PHPT1	-0.11	0.638259896	8.18E-01	9.34	NO	No_Regulation
challenge VS control	ARID4B	-0.13	0.161296325	3.86E-01	114.74	NO	No_Regulation
challenge VS control	OPN3	-0.24	0.339191208	5.87E-01	5.43	NO	No_Regulation
challenge VS control	SDCCAG8	0.26	0.035231418	1.47E-01	70.31	NO	No_Regulation
challenge VS control	HHAT	0.08	0.722178123	8.67E-01	12.37	NO	No_Regulation
challenge VS control	KIF1B	-0.15	0.251597483	5.00E-01	65.9	NO	No_Regulation
challenge VS control	TBC1D22A	-0.15	0.136241449	3.50E-01	154.82	NO	No_Regulation
challenge VS control	SYNE2	0.26	0.010805295	6.45E-02	188.1	NO	No_Regulation
challenge VS control	PLEKHH1	-0.3	0.075998702	2.45E-01	31.47	NO	No_Regulation
challenge VS control	ATP9A	-0.43	0.0082144	5.32E-02	27.32	NO	No_Regulation
challenge VS control	FAM168A	0.24	0.116871893	3.19E-01	29.05	NO	No_Regulation
challenge VS control	GALC	-0.44	0.017648736	9.04E-02	19.5	NO	No_Regulation
challenge VS control	NOP58	0.62	3.06E-05	7.66E-04	45.54	NO	No_Regulation
challenge VS control	SZRD1	0.09	0.652416464	8.26E-01	17.81	NO	No_Regulation
challenge VS control	CUL1	0.04	0.77898634	8.95E-01	36.9	NO	No_Regulation
challenge VS control	FAM114A2	0.35	0.144820846	3.62E-01	9.02	NO	No_Regulation
challenge VS control	CYFIP2	0.5	0.009165187	5.75E-02	16.86	NO	No_Regulation
challenge VS control	TAB2	0.16	0.20649994	4.45E-01	58.13	NO	No_Regulation
challenge VS control	GINM1	-0.39	0.055391794	1.98E-01	13.43	NO	No_Regulation
challenge VS control	EIF2AK2	-0.12	0.379083404	6.25E-01	58.69	NO	No_Regulation
challenge VS control	USP36	0.43	0.039610927	1.59E-01	18.68	NO	No_Regulation
challenge VS control	KMT2C	-0.02	0.790887696	9.01E-01	195.41	NO	No_Regulation
challenge VS control	MCOLN3	0.02	0.915373862	9.63E-01	13.98	NO	No_Regulation
challenge VS control	PUM2	0.15	0.114982777	3.16E-01	131.31	NO	No_Regulation
challenge VS control	MRPL43	0	0.988034225	9.94E-01	7.21	NO	No_Regulation
challenge VS control	C4orf27	0.38	0.10341825	2.96E-01	9.68	NO	No_Regulation
challenge VS control	ZFR	0.02	0.849069802	9.30E-01	87.15	NO	No_Regulation
challenge VS control	RC3H2	0.17	0.259340182	5.07E-01	35.69	NO	No_Regulation
challenge VS control	IL17RB	0.52	0.053229015	1.93E-01	4.28	NO	No_Regulation
challenge VS control	TRAF3IP2	0.01	0.94893151	9.77E-01	18.29	NO	No_Regulation
challenge VS control	DCBLD2	0.44	0.031421823	1.36E-01	12.53	NO	No_Regulation
challenge VS control	SOAT1	0.04	0.855898179	9.33E-01	12.11	NO	No_Regulation
challenge VS control	PKP2	0.19	0.170477489	3.99E-01	53.4	NO	No_Regulation
challenge VS control	GDI2	-0.23	0.050537353	1.87E-01	94.45	NO	No_Regulation
challenge VS control	PRDM1	0.48	0.028019135	1.25E-01	28.33	NO	No_Regulation
challenge VS control	ATG5	-0.12	0.348126587	5.97E-01	45.19	NO	No_Regulation
challenge VS control	TMCC3	-0.52	0.009536602	5.91E-02	29.81	NO	No_Regulation
challenge VS control	PITHD1	0	0.985309076	9.93E-01	6.34	NO	No_Regulation
challenge VS control	MTA3	0.03	0.835545433	9.23E-01	34.21	NO	No_Regulation
challenge VS control	USP13	0.26	0.308869925	5.59E-01	6.86	NO	No_Regulation
challenge VS control	ATP11B	0.03	0.787524779	8.99E-01	74.4	NO	No_Regulation
challenge VS control	CDK14	0.35	0.052325383	1.91E-01	55.8	NO	No_Regulation
challenge VS control	SEC61A1	0.35	0.024996434	1.16E-01	31.52	NO	No_Regulation
challenge VS control	PPP1R12A	-0.14	0.183911481	4.16E-01	135.37	NO	No_Regulation
challenge VS control	CROCC	0.66	0.011109221	6.56E-02	5.09	NO	No_Regulation
challenge VS control	POLR3E	0.17	0.448835256	6.86E-01	12.8	NO	No_Regulation
challenge VS control	ATP2B4	-0.19	0.298631828	5.48E-01	27.65	NO	No_Regulation
challenge VS control	RIOK2	0	0.998216659	9.99E-01	9.87	NO	No_Regulation
challenge VS control	YIPF1	0.2	0.418016419	6.59E-01	5.95	NO	No_Regulation
challenge VS control	NDC1	0.78	3.63E-04	5.34E-03	13.75	NO	No_Regulation
challenge VS control	DGKG	-0.28	0.182164988	4.13E-01	26.3	NO	No_Regulation
challenge VS control	FLYWCH1	-0.31	0.221126937	4.64E-01	5.19	NO	No_Regulation
challenge VS control	UNKL	-0.44	0.070526324	2.33E-01	9.68	NO	No_Regulation
challenge VS control	TBXAS1	-0.03	0.852275707	9.32E-01	26.14	NO	No_Regulation
challenge VS control	PARP12	-0.07	0.678299617	8.41E-01	19.92	NO	No_Regulation
challenge VS control	ALDH18A1	-0.49	0.001483212	1.57E-02	54.42	NO	No_Regulation
challenge VS control	TARBP1	0.12	0.500114182	7.25E-01	25.2	NO	No_Regulation
challenge VS control	GATB	0.6	0.011124877	6.57E-02	7.99	NO	No_Regulation
challenge VS control	MXD1	-0.52	0.001080723	1.24E-02	74.18	NO	No_Regulation
challenge VS control	CDK17	0.02	0.886200196	9.49E-01	39.69	NO	No_Regulation
challenge VS control	CTDP1	0.3	0.224503574	4.67E-01	7.23	NO	No_Regulation
challenge VS control	YBX3	0.23	0.179663712	4.10E-01	28.97	NO	No_Regulation
challenge VS control	STYK1	0.57	0.027342782	1.23E-01	5.58	NO	No_Regulation
challenge VS control	WNK1	-0.11	0.352462657	6.02E-01	76.44	NO	No_Regulation
challenge VS control	CCAR1	0.22	0.07083295	2.34E-01	72.88	NO	No_Regulation
challenge VS control	OGFR	-0.11	0.623679619	8.10E-01	11.92	NO	No_Regulation
challenge VS control	CREB3L3	-1.17	5.12E-10	1.11E-07	48.91	YES	Down-Regulated in Sample Group
challenge VS control	SNRNP40	0.27	0.21221067	4.52E-01	10.8	NO	No_Regulation
challenge VS control	RIMBP2	0.33	0.177646797	4.08E-01	7.34	NO	No_Regulation
challenge VS control	QSER1	0.21	0.274148677	5.23E-01	21.98	NO	No_Regulation
challenge VS control	MPC1	0.22	0.148493797	3.68E-01	34.98	NO	No_Regulation
challenge VS control	ACAA1	-0.51	0.007196859	4.86E-02	62.67	NO	No_Regulation
challenge VS control	HDAC7	0.33	0.09488518	2.81E-01	13.61	NO	No_Regulation
challenge VS control	NCKAP1	-0.61	2.31E-06	1.06E-04	70.99	NO	No_Regulation
challenge VS control	MRPS35	0.64	2.73E-04	4.27E-03	24.83	NO	No_Regulation
challenge VS control	GUCY1B3	0.21	0.417000941	6.58E-01	4.82	NO	No_Regulation
challenge VS control	SFSWAP	0.18	0.176377306	4.06E-01	42.38	NO	No_Regulation
